gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,Electricity,2030,-3431.6103436223702,2836440.449556103,0.0,22102.199999999997,0.0,137807217.0,7.437684306305453,0.09793417771209584,22341.21334066306,18909.602997040693
Batteries,Electricity,2040,-79.71460580237327,65889.10595079252,0.0,495.0,0.0,3086325.0,7.1761804788448735,0.10157913991994506,518.9753121409901,439.26070633861684
Battery_*_Moderate,Electricity,2030,-6185.353602132783,5112581.466849785,0.0,21411.575876619478,518571533.9592105,134079288.13939117,19.29837425076998,0.1822165101678804,40269.230047798024,34083.876445665235
Battery_*_Moderate,Electricity,2040,-64503.052758759615,53315804.68249023,0.0,206814.52737457806,4981742967.689678,1274391117.68215,17.75116195177612,0.19673020387633927,419941.7506420278,355438.69788326824
Battery_*_Moderate,Electricity,2050,-112460.1683022984,92955358.04202408,0.0,354195.7528036016,7392455997.41508,1889988536.9600182,15.128874908176797,0.2002752093466855,732162.5552491257,619702.3869468272
Biomass,Waste_biomass,2030,19681.272651553652,135691432.8916578,0.0,12180.1,0.0,1837368085.0,100.25060639236169,0.18496506036284296,0.0,0.0
Biomass,Waste_biomass,2040,9794.981124407266,65982049.94228569,0.0,7686.6,0.0,1159523610.0,125.11567346347961,0.14586688091026734,0.0,0.0
Biomass,Waste_biomass,2050,5535.540990511796,37163490.55212241,0.0,4716.0,0.0,711408600.0,135.23015940722212,0.1343611304929471,0.0,0.0
Conventional Hydroelectric,Water,2030,249487.37364746974,0.0,0.0,67897.29999999999,0.0,3194432170.399999,12.803983318666022,0.420613726329989,0.0,0.0
Conventional Hydroelectric,Water,2040,228589.69289483136,0.0,0.0,64131.99999999999,0.0,3017282335.9999995,13.19955549084262,0.4080085226557383,0.0,0.0
Conventional Hydroelectric,Water,2050,203385.69671924235,0.0,0.0,57582.49999999999,0.0,2709141459.9999995,13.320216237918402,0.40431259067703784,0.0,0.0
Conventional Steam Coal,Coal,2030,25.740055360174388,48365.56402176767,29145.31057951363,184563.6,0.0,12159790793.0546,472409.2076908508,1.5964333749693174e-05,0.0,0.0
Conventional Steam Coal,Coal,2040,158.49720834760666,297816.2544851529,163711.597634941,111111.29999999999,0.0,7279141689.9001,45927.87205557433,0.00016328668156196142,0.0,0.0
Conventional Steam Coal,Coal,2050,706.7649665892211,1328011.3722211465,732679.4377605657,39531.5,0.0,2593219398.4063,3671.0187013082354,0.0020465346159858106,0.0,0.0
Geothermal,Heat,2030,4713.842444871112,0.0,0.0,1275.3999999999999,0.0,266687415.39999998,56.57537741639387,0.4230736960557724,0.0,0.0
Geothermal,Heat,2040,2775.683485563913,0.0,0.0,795.2,0.0,166277115.2,59.9049265036135,0.3995590250471339,0.0,0.0
Geothermal,Heat,2050,751.9273955593872,0.0,0.0,243.70000000000002,0.0,50957913.7,67.76972617428108,0.3531894753086325,0.0,0.0
Hydroelectric Pumped Storage,Electricity,2030,-14292.620428001883,0.0,0.0,22807.100000000002,0.0,1073028440.8,25.031105271447213,0.2151535490394173,57160.42147648356,42867.80104848168
Hydroelectric Pumped Storage,Electricity,2040,-16288.096322742143,0.0,0.0,22807.100000000002,0.0,1073028440.8,21.96451196327551,0.24519238781793562,65140.92048719866,48852.82416445651
Hydroelectric Pumped Storage,Electricity,2050,-16201.168494212448,0.0,0.0,22807.100000000002,0.0,1073028440.8,22.082363174112547,0.24388382226430666,64793.27036028111,48592.10186606866
Hydrogen_CCAvgCF_Moderate,Hydrogen,2030,0.0007062293229555707,1.4124586459111415,0.0,0.0001831632577030164,12.213128107951853,5.128571215684459,26.55533742363072,0.44136181932522933,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2040,25162.49718487309,50324994.36974618,0.0,10328.016170724304,757363763.8351718,289184452.7802805,43.59158802587387,0.2788843890579834,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2050,78395.09755869485,156790195.1173897,0.0,24133.19465927048,1782262578.8599775,675729450.4595735,33.353899744550205,0.3718445868509361,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2030,6.523788453932828e-05,0.3261894226966414,0.0,8.738856378906858e-05,4.63235009643072,1.8351598395704403,104.13733380030526,0.08545404844497434,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2040,0.0001005998432766541,0.5029992163832705,0.0,0.00013420894292543624,7.092022623613914,2.8183878014341612,103.51317956623453,0.08580314824491338,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2050,0.00020693135596935617,1.034656779846781,0.0,0.00027257543004130763,13.75752548849095,5.724084030867461,99.14527550983324,0.08690143985914243,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2030,1167258.5073599098,0.0,0.0,338959.8090906366,34284246532.81476,13682790613.561728,41.09375673334581,0.3941905568025101,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2040,1961366.6725153737,0.0,0.0,587536.1221902916,55213373382.060074,22965375873.639763,39.85932378234955,0.38213040412380594,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2050,2459348.1835800293,0.0,0.0,753100.252505702,69423953373.3829,28664424367.337803,39.8838921611885,0.3738131715814807,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2030,662749.576468398,2395044141.3908763,254440861.77260327,321931.8,0.0,3824219713.8681,9.38403293805127,0.23565299061962308,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2040,521590.4196503761,1895106874.7460313,200902999.83963814,315146.89999999997,0.0,3734573488.7978,10.79329709950851,0.1894540706420309,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2050,483238.71478114434,1759045041.6088347,186256739.76700413,308784.0,0.0,3644428067.6137,11.181788511439386,0.1791407163207649,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2030,3511.617499950029,18537828.7822362,2057524.1390039453,164224.0,0.0,1785488829.7977,513.7309683089368,0.00244769867783194,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2040,16686.590550778594,88088511.51756018,9990181.13612125,156407.1,0.0,1696495159.6487,106.94717208621097,0.012212329697337968,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2050,23698.53127578614,125104546.60487503,14306881.645977985,129707.90000000001,0.0,1405049557.911,64.5674656673472,0.02091425398699007,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2030,742.4047690240208,3388043.2003236054,349489.4677246414,5602.3,0.0,117648300.0,163.03282016822206,0.01516916817850691,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2040,977.8261707169958,4512301.645287051,465449.7744121545,5300.0,0.0,111300000.0,118.43853755761837,0.021118990832058964,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2050,1181.1957226748927,5466222.847806979,563839.6555926191,5087.6,0.0,106839600.0,95.07808121204782,0.026576407950718358,0.0,0.0
Natural Gas Steam Turbine,Naturalgas,2030,408.4938615778874,431369.517826249,209576.47446539445,6762.900000000001,0.0,267030295.3608,654.7507564630306,0.006914168252868188,0.0,0.0
Natural Gas Steam Turbine,Naturalgas,2040,521.8884769750068,551114.2316856073,272298.7288307014,1888.5,0.0,90151210.5,173.7963736187824,0.031633561736147287,0.0,0.0
Natural Gas Steam Turbine,Naturalgas,2050,151.66199109659303,160155.06259800223,87923.33827309267,1109.7,0.0,50196434.1,332.0317028577454,0.01564438668461209,0.0,0.0
NaturalGas_CCAvgCF_Moderate,Naturalgas,2030,4.889035069227635e-05,0.09778070138455269,0.016498615969176685,7.442416634599265e-05,4.462158134826007,2.083876657687794,135.89216276470557,0.07519631326754893,0.0,0.0
NaturalGas_CCAvgCF_Moderate,Naturalgas,2040,3.657165755417708e-05,0.07314331510835417,0.012341530072884688,0.00010098683380439822,6.027787809615923,2.82763134652315,244.13885145951332,0.041454078262115945,0.0,0.0
NaturalGas_CCAvgCF_Moderate,Naturalgas,2050,4.76323654095911e-05,0.0952647308191822,0.01607409424290527,0.00017789395271540034,10.294991469126058,4.981030676031209,322.7067718304272,0.03064984895312798,0.0,0.0
NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,2030,3.913344506995785e-05,0.4406373062376379,0.0014867171463149656,2.4406862525869168e-05,3.492725690770341,1.6579997212229567,142.8793889276909,0.18353694642909588,0.0,0.0
NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,2040,2.708568178245447e-05,0.3059054496858394,0.0010290110531699563,3.0093361756054886e-05,4.248965050764123,2.0442204687375676,243.63761718053857,0.1030282778685817,0.0,0.0
NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,2050,3.601398256166254e-05,0.40701055726256,0.0013682057709408187,5.830700354549593e-05,7.7150239449340665,3.9606916678224966,335.5009724162353,0.07070299343402717,0.0,0.0
NaturalGas_CTAvgCF_Moderate,Naturalgas,2030,2.455712674342156e-05,0.12278563371710781,0.012665171129457817,8.875255934299582e-05,4.272288981913375,1.8638037462029124,254.87014125176688,0.031672623682590065,0.0,0.0
NaturalGas_CTAvgCF_Moderate,Naturalgas,2040,2.9162747932685945e-05,0.14581373966342973,0.015040488939596834,0.0001275193754748809,6.101493578531759,2.677906884972499,306.04846373767833,0.026178191574533372,0.0,0.0
NaturalGas_CTAvgCF_Moderate,Naturalgas,2050,3.8780286725632344e-05,0.19390143362816173,0.02000066917279515,0.0002282848966205138,10.491600520814572,4.7939828290307895,399.15859552534334,0.019445593865280747,0.0,0.0
Nuclear,Uranium,2030,662135.6516624342,1875784111.9363687,0.0,96852.6,0.0,20589964773.1234,33.92922406255374,0.7825697624033886,0.0,0.0
Nuclear,Uranium,2040,583942.2594005843,1654086236.90873,0.0,96852.6,0.0,20589964773.1234,38.092894720217046,0.6901539798515268,0.0,0.0
Nuclear,Uranium,2050,543076.1453584997,1538212481.486067,0.0,96216.2,0.0,20426114021.031,40.44428518954336,0.646100237582813,0.0,0.0
Nuclear_Nuclear_Moderate,Uranium,2030,63642.51450681466,180744741.19935367,0.0,8369.032673093254,3450735830.1082773,1221544008.9646914,76.25444434243204,0.8704812912202059,0.0,0.0
Nuclear_Nuclear_Moderate,Uranium,2040,59312.61776773486,168447834.46036705,0.0,8369.032676365354,3450735831.596101,1221544009.442287,81.61379243881619,0.811258393544359,0.0,0.0
Nuclear_Nuclear_Moderate,Uranium,2050,56642.06917188889,160863476.44816446,0.0,8369.032741053546,3450735858.1782928,1221544018.8841755,85.32780359495221,0.7747315060039759,0.0,0.0
OffShoreWind_Class12_Moderate_floating_0,Wind,2030,0.00013863019452376365,0.0,0.0,4.729003489852753e-05,19.544394324371094,3.775967416542728,168.2199308817698,0.3355641623501345,0.0,0.0
OffShoreWind_Class12_Moderate_floating_0,Wind,2040,0.00020634222891913754,0.0,0.0,7.449639552309878e-05,29.79864058359891,5.692061954789898,171.99922053908358,0.3170591069607453,0.0,0.0
OffShoreWind_Class12_Moderate_floating_0,Wind,2050,0.0004190217515104676,0.0,0.0,0.00015904153312631673,60.214189518168276,11.136422509652457,170.27901718853445,0.3015875359115306,0.0,0.0
OffShoreWind_Class12_Moderate_floating_1,Wind,2030,8.614195019256901e-05,0.0,0.0,2.7144771219720427e-05,11.163882602772835,2.167428547581017,154.7598019379862,0.3632585864092029,0.0,0.0
OffShoreWind_Class12_Moderate_floating_1,Wind,2040,0.00011874806778155092,0.0,0.0,4.064818219398158e-05,16.111813949560794,3.1184758916864648,161.94191788133617,0.33440502731358235,0.0,0.0
OffShoreWind_Class12_Moderate_floating_1,Wind,2050,0.00023905159191845335,0.0,0.0,8.594855823576379e-05,32.325372418808,6.03552939138448,160.4712250704374,0.3183760709669868,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_0,Wind,2030,0.0002620763625958713,0.0,0.0,8.83604400096626e-05,24.93291378344123,8.148864859011114,126.22953979815921,0.3395137419777356,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_0,Wind,2040,0.0004727477571440905,0.0,0.0,0.00016236635991803632,43.543772990716086,14.103050341758559,121.93991925149264,0.33328885963696014,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_0,Wind,2050,0.0010275105464120043,0.0,0.0,0.00036059227047718077,91.5819892474078,28.554936417209404,116.92038206724695,0.32617994091198294,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,Wind,2030,9.85712311099494e-05,0.0,0.0,3.7997079418878614e-05,10.393040467894055,3.504204655247243,140.9868271569002,0.29695274129010707,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,Wind,2040,0.0002173600081915222,0.0,0.0,7.510341948698828e-05,19.774114367849585,6.489634173929177,120.83063835108533,0.3312892207649382,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,Wind,2050,0.00043501754597683503,0.0,0.0,0.0001546671568547658,38.89287041464875,12.290288774657414,117.65768912693855,0.321955646723107,0.0,0.0
Offshore Wind Turbine,Wind,2030,82.38014908941909,0.0,0.0,29.3,0.0,3266832.8000000003,39.65558251726437,0.32184171061575295,0.0,0.0
Offshore Wind Turbine,Wind,2040,89.66841623144951,0.0,0.0,29.3,0.0,3266832.8000000003,36.432368690083095,0.35031541927424986,0.0,0.0
Onshore Wind Turbine,Wind,2030,367528.7571034775,0.0,0.0,154352.3,0.0,6637148900.0,18.058855998937013,0.2725621807079531,0.0,0.0
Onshore Wind Turbine,Wind,2040,288390.61769074446,0.0,0.0,122207.9,0.0,5254939700.0,18.221604232753272,0.27012776203939304,0.0,0.0
Onshore Wind Turbine,Wind,2050,117097.32538876544,0.0,0.0,51818.200000000004,0.0,2228182600.0,19.028467068760023,0.25867355233476097,0.0,0.0
Petroleum Liquids,Distillate,2030,20.404655731907678,138232.61852348546,19658.5277254594,6386.099999999999,0.0,134108100.0,6579.201059912834,0.0003657471338547124,0.0,0.0
Petroleum Liquids,Distillate,2040,21.334725387324387,140563.2320069397,19989.335952305686,4127.1,0.0,86669100.0,4068.9374555335603,0.0005917379731147966,0.0,0.0
Petroleum Liquids,Distillate,2050,13.70412225073847,92872.9365250692,13207.727143911196,1672.8999999999999,0.0,35130900.0,2570.3049266527796,0.0009377101515837958,0.0,0.0
Small Hydroelectric,Water,2030,23009.133649556694,0.0,0.0,4946.9,0.0,232741751.20000002,10.11518967835993,0.5324201825945731,0.0,0.0
Small Hydroelectric,Water,2040,20705.221570400045,0.0,0.0,4511.4,0.0,212252347.2,10.25115072921671,0.525358691701009,0.0,0.0
Small Hydroelectric,Water,2050,18347.17511594614,0.0,0.0,4021.6000000000004,0.0,189208236.8,10.312663154097923,0.5222250601088524,0.0,0.0
Solar Photovoltaic,Solar,2030,247047.0310614858,0.0,0.0,116478.3,0.0,2635088580.9,10.666343851929033,0.24278507770127628,0.0,0.0
Solar Photovoltaic,Solar,2040,249883.8200468534,0.0,0.0,116318.7,0.0,2631477950.1,10.530805674439408,0.2459098763131412,0.0,0.0
Solar Photovoltaic,Solar,2050,169377.26130941903,0.0,0.0,81080.2,0.0,1834277364.6,10.829537273301018,0.23912647932461106,0.0,0.0
UtilityPV_Class1_Moderate,Solar,2030,1020914.7333293266,0.0,0.0,465164.27657852793,29637567347.533573,8038969027.83012,36.90468473551748,0.25122941749378525,0.0,0.0
UtilityPV_Class1_Moderate,Solar,2040,2020205.903583129,0.0,0.0,920175.2592288303,54307081487.133286,14714435154.291117,34.16558506190122,0.251311555551125,0.0,0.0
UtilityPV_Class1_Moderate,Solar,2050,2948476.4100489463,0.0,0.0,1353850.7484569806,77250280103.37512,20650585250.841324,33.203882866606094,0.24929538721768593,0.0,0.0
distributed_generation,Solar,2030,133301.04670868418,0.0,0.0,72744.0,0.0,0.0,0.0,0.2097605225070678,0.0,0.0
distributed_generation,Solar,2040,133791.11884512624,0.0,0.0,72744.0,0.0,0.0,0.0,0.210531692651222,0.0,0.0
distributed_generation,Solar,2050,128764.9929195165,0.0,0.0,72744.0,0.0,0.0,0.0,0.20262265647803843,0.0,0.0
